# MediaPipe Hand Trajectory Data
# Format: time(s) x(m) y(m) z(m) roll(rad) pitch(rad) yaw(rad)
# Duration: 9.957s, Samples: 301
# Max Linear Vel: 0.476 m/s, Max Angular Vel: 0.000 rad/s
# Max Linear Accel: 4.237 m/s^2, Max Angular Accel: 0.000 rad/s^2
# Total Distance: 0.730m, Total Rotation: 0.000rad
# Robot base frame: +x forward, +y left, +z up
# Recorded in ZY plane with fixed X
5.708193 0.530252 -0.115460 0.463064 0.000000 0.000000 0.000000
5.739280 0.530219 -0.115295 0.463171 0.000000 0.000000 0.000000
5.779578 0.530165 -0.115101 0.463214 0.000000 0.000000 0.000000
5.797609 0.530083 -0.114799 0.463297 0.000000 0.000000 0.000000
5.833713 0.530036 -0.114651 0.463305 0.000000 0.000000 0.000000
5.873162 0.530052 -0.114743 0.463233 0.000000 0.000000 0.000000
5.894739 0.530060 -0.114824 0.463136 0.000000 0.000000 0.000000
5.940874 0.530078 -0.114864 0.463161 0.000000 0.000000 0.000000
5.962272 0.530072 -0.114854 0.463151 0.000000 0.000000 0.000000
5.982315 0.530062 -0.114840 0.463120 0.000000 0.000000 0.000000
6.034373 0.530033 -0.114694 0.463215 0.000000 0.000000 0.000000
6.096376 0.529972 -0.114518 0.463193 0.000000 0.000000 0.000000
6.128754 0.529937 -0.114422 0.463173 0.000000 0.000000 0.000000
6.159074 0.529923 -0.114445 0.463063 0.000000 0.000000 0.000000
6.189621 0.529921 -0.114479 0.462993 0.000000 0.000000 0.000000
6.221173 0.529904 -0.114361 0.463107 0.000000 0.000000 0.000000
6.252337 0.529843 -0.114136 0.463169 0.000000 0.000000 0.000000
6.299631 0.529792 -0.113943 0.463225 0.000000 0.000000 0.000000
6.331166 0.529785 -0.113924 0.463223 0.000000 0.000000 0.000000
6.362167 0.529763 -0.113875 0.463188 0.000000 0.000000 0.000000
6.377678 0.529758 -0.113880 0.463159 0.000000 0.000000 0.000000
6.408215 0.529738 -0.113814 0.463163 0.000000 0.000000 0.000000
6.439953 0.529697 -0.113691 0.463159 0.000000 0.000000 0.000000
6.485977 0.529660 -0.113594 0.463130 0.000000 0.000000 0.000000
6.516752 0.529641 -0.113529 0.463140 0.000000 0.000000 0.000000
6.548246 0.529591 -0.113403 0.463092 0.000000 0.000000 0.000000
6.595557 0.529527 -0.113144 0.463193 0.000000 0.000000 0.000000
6.625282 0.529424 -0.112743 0.463336 0.000000 0.000000 0.000000
6.657518 0.529346 -0.112508 0.463320 0.000000 0.000000 0.000000
6.703004 0.529244 -0.112211 0.463292 0.000000 0.000000 0.000000
6.719520 0.529184 -0.112072 0.463213 0.000000 0.000000 0.000000
6.749814 0.529108 -0.111834 0.463222 0.000000 0.000000 0.000000
6.780783 0.529083 -0.111709 0.463299 0.000000 0.000000 0.000000
6.811480 0.529068 -0.111519 0.463540 0.000000 0.000000 0.000000
6.842996 0.529024 -0.111299 0.463683 0.000000 0.000000 0.000000
6.891116 0.529014 -0.111317 0.463601 0.000000 0.000000 0.000000
6.922147 0.529012 -0.111314 0.463593 0.000000 0.000000 0.000000
6.955099 0.529024 -0.111257 0.463754 0.000000 0.000000 0.000000
6.986818 0.529043 -0.111266 0.463834 0.000000 0.000000 0.000000
7.016310 0.529142 -0.111724 0.463580 0.000000 0.000000 0.000000
7.047835 0.529183 -0.112012 0.463312 0.000000 0.000000 0.000000
7.079881 0.529336 -0.112675 0.462991 0.000000 0.000000 0.000000
7.111391 0.529642 -0.113926 0.462475 0.000000 0.000000 0.000000
7.142197 0.529818 -0.114730 0.462039 0.000000 0.000000 0.000000
7.172334 0.530062 -0.115830 0.461463 0.000000 0.000000 0.000000
7.196859 0.530288 -0.116765 0.461064 0.000000 0.000000 0.000000
7.249757 0.530449 -0.117414 0.460807 0.000000 0.000000 0.000000
7.296806 0.530520 -0.117785 0.460557 0.000000 0.000000 0.000000
7.327816 0.530632 -0.118317 0.460242 0.000000 0.000000 0.000000
7.359637 0.530777 -0.118867 0.460072 0.000000 0.000000 0.000000
7.406208 0.530884 -0.119204 0.460058 0.000000 0.000000 0.000000
7.437120 0.531136 -0.120040 0.459962 0.000000 0.000000 0.000000
7.467768 0.531271 -0.120521 0.459855 0.000000 0.000000 0.000000
7.499127 0.531522 -0.121347 0.459772 0.000000 0.000000 0.000000
7.533184 0.531945 -0.122756 0.459599 0.000000 0.000000 0.000000
7.562115 0.532239 -0.123813 0.459350 0.000000 0.000000 0.000000
7.593625 0.532794 -0.125586 0.459250 0.000000 0.000000 0.000000
